Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY
Date,,,,,,,,,,
2022-06-10,282.68768310546875,371.9862365722656,288.58924246587725,377.6929627167684,282.23748950232164,371.93853320755727,287.395227361186,376.83409829148513,85963500,132893900
2022-06-13,269.5437316894531,357.8625793457031,276.32611454255516,364.3613614567866,268.6824710349228,356.2402573368301,273.7912854924327,362.4909411964938,94442000,170004900
2022-06-14,270.0331115722656,356.7842102050781,272.7245364824445,360.66821899868324,267.517845487995,353.6541067219723,271.7458365151067,359.62803527808586,64697500,104011800
2022-06-15,276.7762756347656,361.87066650390625,280.7204344080786,366.3558602058252,270.7181218304707,355.11420442404216,273.4682955890401,360.11472841546015,86051400,125666800
2022-06-16,265.60931396484375,349.8941345214844,270.1798246323087,353.9880902064775,263.5442421596656,347.44157621413234,269.71983459931016,353.57774814279935,81910300,134473300
2022-06-17,268.8390808105469,350.6484375,271.2858305868506,354.0221033777161,264.7481223527794,347.11188542731054,266.3825344775217,350.3130130281103,82703400,111113900
2022-06-21,275.62176513671875,359.47552490234375,277.945767840858,360.8748135269164,273.2291744128799,356.3510582726465,273.3370239866134,356.4277484499762,51633700,76811900
2022-06-22,275.21966552734375,358.8238220214844,279.6420652166583,362.9737786719603,272.51325255764084,354.78884214510737,273.1113925669113,355.2105503946514,67472900,90059400
2022-06-23,279.3184814453125,362.3411865234375,280.1715820589363,363.07916127513187,274.86663568317664,357.3861588715591,277.7103143702409,360.9802430334316,57457800,79292100
2022-06-24,288.8890380859375,373.8614501953125,289.3107107815727,373.8710437802733,281.9171195117353,365.513598091444,282.1524494442082,365.5423495975917,58422300,98050300
2022-06-27,286.7709655761719,372.4334716796875,290.8207405362928,375.08829201628555,285.6334878658974,371.3312914297726,290.2520166436363,374.7911833206235,54151500,66009600
2022-06-28,278.0339660644531,364.8235168457031,289.90878850505385,376.81339161688345,277.8476532664208,364.70851082610875,287.31025464428683,374.0052207264319,61609800,86548900
2022-06-29,278.2889099121094,364.5263977050781,279.79901321604007,366.3761460472817,275.3863981756263,362.686242947142,277.8966834490648,365.3794077403715,57302700,65676000
2022-06-30,274.83734130859375,361.56494140625,278.42627266314946,364.833166122713,270.42472520585665,357.06993687895454,275.2982157429895,360.5969251790056,79313600,112508300
